id,cargo,cat,count_pas,date_plan,date_src,duration,emp_f,emp_m,note,note_begin,note_end,src,status,time_begin,time_end,time_plan,track,pas_id,st_begin_id,st_end_id
488037,,ИК,1,24.04.2024,20.04.2024 12:06:20,00:48:00,0,4,,,,,Заявка закончена,09:22:10,09:51:44,9:30:00,,1,149,174
488041,,ИК,1,24.04.2024,20.04.2024 12:07:36,00:48:00,0,4,,,,,Заявка закончена,16:08:45,16:52:19,16:15:00,,1,174,149
489194,,ИЗТ,1,24.04.2024,23.04.2024 16:47:47,00:47:50,1,0,,,,,Заявка закончена,14:21:00,15:09:21,14:40:00,,2,17,169
489388,,ИЗТ,1,24.04.2024,24.04.2024 13:09:41,01:02:05,1,0,,,,,Заявка закончена,15:38:25,16:47:13,16:00:00,,3,412,124
489389,,ИЗТ,1,24.04.2024,24.04.2024 13:10:25,01:02:05,1,0,,,,,Заявка закончена,20:57:22,22:04:02,21:00:00,,3,124,412
488622,,ИК,1,24.04.2024,21.04.2024 22:41:53,01:08:40,0,4,,,,,Заявка закончена,08:59:36,10:03:08,9:00:00,,4,111,1
488623,,ИК,1,24.04.2024,21.04.2024 22:42:19,00:47:20,0,4,,,,,Заявка закончена,18:30:28,19:16:01,18:30:00,,4,102,111
489131,,ДИ,1,24.04.2024,23.04.2024 13:42:30,01:13:20,0,3,,,,,Заявка закончена,14:00:32,15:03:44,14:00:00,,5,187,118
489190,,ДИ,1,24.04.2024,23.04.2024 16:38:41,01:13:20,0,3,,,,,Заявка закончена,19:51:15,20:55:46,20:00:00,,5,118,187
484122,,ДИ,1,24.04.2024,07.04.2024 9:25:34,00:53:20,0,3,,,,,Заявка закончена,14:28:29,15:20:56,14:30:00,,6,117,73
484123,,ДИ,1,24.04.2024,07.04.2024 9:25:47,00:55:20,0,3,,,,,Заявка закончена,18:02:25,18:45:48,18:00:00,,6,73,117
488886,,ИЗТ,1,24.04.2024,22.04.2024 19:13:19,01:11:30,1,0,,,,,Заявка закончена,06:52:08,07:40:14,6:46:00,,7,6,107
489289,,ИЗТ,1,24.04.2024,24.04.2024 8:04:44,00:54:30,1,0,,,,,Заявка закончена,14:27:39,15:00:10,14:30:00,,7,107,34
488104,,ДИ,1,24.04.2024,20.04.2024 13:52:38,00:37:50,0,4,,,,,Заявка закончена,07:33:11,08:02:44,7:30:00,,8,114,109
489158,,ИЗТ,1,24.04.2024,23.04.2024 14:36:02,00:51:30,1,0,,,,,Заявка закончена,13:26:56,14:10:40,13:31:00,,9,61,175
488674,,ДИ,1,24.04.2024,22.04.2024 9:29:58,00:37:00,0,3,,,,,Заявка закончена,09:08:24,09:37:10,9:00:00,,10,89,81
488744,,ДИ,1,24.04.2024,22.04.2024 11:58:28,00:43:05,0,3,,,,,Отмена заявки по просьбе пассажира,00:00:00,00:00:00,12:00:00,,11,53,90
488745,,ДИ,1,24.04.2024,22.04.2024 11:58:45,00:45:05,0,3,,,,,Отмена заявки по просьбе пассажира,00:00:00,00:00:00,18:40:00,,11,90,53
489200,,ДИ,1,24.04.2024,23.04.2024 17:05:09,01:28:25,0,3,,,,,Не подтверждена,00:00:00,00:00:00,9:30:00,,12,259,187
489202,,ДИ,1,24.04.2024,23.04.2024 17:06:22,01:28:25,0,3,,,,,Не подтверждена,00:00:00,00:00:00,12:30:00,,12,187,259
488858,,ИЗТ,1,24.04.2024,22.04.2024 17:54:33,01:16:10,1,0,,,,,Заявка закончена,15:40:00,16:19:00,15:45:00,,13,96,122
488859,,ИЗТ,1,24.04.2024,22.04.2024 17:54:54,01:16:10,1,0,,,,,Заявка закончена,18:29:54,19:25:33,18:45:00,,13,122,96
488176,,ИЗТ,1,24.04.2024,20.04.2024 19:11:56,00:53:10,1,0,,,,,Заявка закончена,08:03:00,08:48:39,8:00:00,,14,213,224
488180,,ИЗТ,1,24.04.2024,20.04.2024 19:13:25,00:53:10,1,0,,,,,Заявка закончена,19:08:18,20:01:08,19:05:00,,14,224,213
488966,,ИЗТ,1,24.04.2024,23.04.2024 8:29:51,00:56:20,1,0,,,,,Заявка закончена,07:06:25,07:40:58,7:10:00,,15,250,361
487356,,ИО,1,24.04.2024,18.04.2024 8:55:04,00:44:00,0,2,,,,,Заявка закончена,17:02:57,18:00:30,17:00:00,,16,135,34
488979,,ИЗ,1,24.04.2024,23.04.2024 9:27:25,01:08:30,1,0,,,,,Заявка закончена,07:40:50,08:30:13,7:45:00,,17,149,246
488983,,ИЗ,1,24.04.2024,23.04.2024 9:28:14,00:58:20,1,0,,,,,Заявка закончена,17:44:28,18:38:28,17:45:00,,17,246,149
488686,,ИЗТ,1,24.04.2024,22.04.2024 9:57:26,00:58:25,1,0,,,,,Заявка закончена,06:38:11,07:28:48,6:30:00,,18,43,142
489204,,ИЗТ,1,24.04.2024,23.04.2024 17:07:50,00:55:00,1,0,,,,,Заявка закончена,12:59:02,13:54:12,12:54:00,,19,80,18
488202,,ИЗТ,1,24.04.2024,20.04.2024 19:40:20,01:48:00,1,0,,,,,Заявка закончена,09:27:16,10:46:15,9:30:00,,20,42,64
488203,,ИЗТ,1,24.04.2024,20.04.2024 19:41:09,01:53:00,1,0,,,,,Заявка закончена,15:41:40,17:38:24,16:00:00,,20,64,42
489304,,ДИ,1,24.04.2024,24.04.2024 9:07:54,00:32:55,0,3,,,,,Не подтверждена,00:00:00,00:00:00,16:00:00,,21,183,180
489305,,ДИ,1,24.04.2024,24.04.2024 9:08:32,00:32:55,0,3,,,,,Не подтверждена,00:00:00,00:00:00,19:30:00,,21,180,183
489269,,ИЗТ,1,24.04.2024,23.04.2024 23:34:27,01:27:30,1,0,,,,,Заявка закончена,16:37:31,17:40:24,16:40:00,,22,122,66
487616,,ДИ,1,24.04.2024,19.04.2024 8:39:07,01:07:00,0,4,,,,,Заявка закончена,08:45:28,09:47:12,8:50:00,,23,48,109
487620,,ДИ,1,24.04.2024,19.04.2024 8:39:43,01:07:00,0,4,,,,,Заявка закончена,13:35:24,14:25:10,13:40:00,,23,109,48
489206,,ИЗТ,1,24.04.2024,23.04.2024 17:26:46,01:03:20,1,0,,,,,Заявка закончена,18:32:35,19:36:30,18:30:00,,24,46,255
