id,emp_min,pas_min,st_first_id,st_second_id
1,2,2,1,2
2,6,6,1,3
3,9,9,1,4
4,11,11,1,5
5,12,12,1,6
6,14,14,1,7
7,16,16,1,8
8,18,18,1,9
9,19,19,1,10
10,21,21,1,11
11,23,23,1,12
12,25,25,1,13
13,27,27,1,14
14,29,29,1,15
15,32,32,1,16
16,37,37,1,17
17,40,40,1,18
18,42,42,1,19
19,45,45,1,20
20,49,49,1,21
21,52,52,1,22
22,55,55,1,266
23,58,58,1,267
24,61,61,1,268
25,63,63,1,269
26,41,41,1,244
27,42,48,1,260
28,40,46,1,23
29,38,43,1,24
30,34,40,1,25
31,32,37,1,26
32,29,35,1,27
33,26,26,1,28
34,28,28,1,29
35,27,27,1,30
36,25,25,1,31
37,23,23,1,32
38,26,26,1,33
39,28,28,1,34
40,32,32,1,35
41,34,34,1,36
42,37,37,1,37
43,40,41,1,38
44,44,44,1,39
45,46,47,1,40
46,49,49,1,41
47,52,52,1,42
48,51,54,1,43
49,55,58,1,44
50,59,68,1,45
51,56,65,1,46
52,53,53,1,47
53,55,60,1,48
54,56,56,1,49
55,48,48,1,50
56,45,45,1,51
57,42,42,1,52
58,39,39,1,53
59,35,35,1,54
60,30,30,1,55
61,28,28,1,56
62,26,26,1,57
63,27,28,1,58
64,24,24,1,59
65,22,34,1,60
66,20,37,1,61
67,18,39,1,62
68,15,15,1,63
69,18,45,1,64
70,21,48,1,65
71,23,50,1,66
72,24,24,1,79
73,26,26,1,78
74,28,28,1,77
75,30,30,1,74
76,33,33,1,73
77,35,35,1,72
78,37,37,1,71
79,40,40,1,70
80,42,42,1,69
81,44,44,1,68
82,45,45,1,67
83,35,35,1,449
84,36,36,1,450
85,17,17,1,80
86,20,20,1,81
87,22,22,1,82
88,24,24,1,83
89,26,26,1,84
90,28,28,1,85
91,30,30,1,86
92,30,30,1,87
93,28,28,1,88
94,25,25,1,89
95,23,23,1,90
96,20,20,1,91
97,25,25,1,92
98,23,23,1,93
99,20,20,1,94
100,18,18,1,95
101,21,21,1,96
102,21,27,1,97
103,19,19,1,98
104,21,22,1,99
105,20,20,1,100
106,19,19,1,101
107,21,21,1,102
108,24,24,1,103
109,26,26,1,104
110,28,28,1,105
111,31,31,1,106
112,34,34,1,107
113,36,36,1,108
114,38,38,1,109
115,41,41,1,110
116,44,44,1,111
117,46,46,1,112
118,48,48,1,113
119,51,51,1,114
120,53,53,1,115
121,47,47,1,116
122,46,46,1,117
123,43,43,1,118
124,41,41,1,119
125,38,38,1,120
126,35,35,1,121
127,32,32,1,122
128,30,30,1,123
129,27,27,1,124
130,25,25,1,125
131,23,23,1,126
132,21,21,1,127
133,22,22,1,128
134,25,25,1,129
135,27,27,1,130
136,30,30,1,131
137,28,34,1,132
138,31,37,1,133
139,35,40,1,134
140,32,42,1,135
141,36,46,1,136
142,39,49,1,137
143,41,51,1,138
144,33,33,1,139
145,29,29,1,140
146,26,26,1,141
147,22,22,1,142
148,24,24,1,143
149,27,27,1,144
150,25,25,1,145
151,26,26,1,146
152,37,37,1,147
153,37,37,1,148
154,40,40,1,241
155,43,43,1,242
156,45,45,1,243
157,47,47,1,253
158,51,51,1,254
159,53,53,1,255
160,56,56,1,256
161,58,58,1,257
162,60,60,1,258
163,61,61,1,259
164,65,65,1,408
165,69,69,1,409
166,32,32,1,149
167,29,29,1,150
168,26,26,1,151
169,23,23,1,152
170,26,26,1,153
171,28,40,1,154
172,26,38,1,155
173,24,24,1,156
174,26,26,1,157
175,24,24,1,158
176,26,30,1,159
177,27,27,1,160
178,30,30,1,161
179,29,29,1,162
180,32,35,1,163
181,36,39,1,164
182,38,41,1,165
183,40,43,1,166
184,42,45,1,167
185,44,47,1,168
186,48,50,1,169
187,49,52,1,170
188,52,55,1,171
189,54,57,1,172
190,57,60,1,173
191,40,49,1,412
192,36,36,1,411
193,33,33,1,410
194,31,31,1,250
195,29,29,1,251
196,27,27,1,252
197,27,27,1,234
198,27,31,1,233
199,25,29,1,232
200,21,21,1,174
201,23,23,1,175
202,21,21,1,176
203,19,19,1,177
204,21,21,1,178
205,24,24,1,179
206,27,27,1,180
207,29,29,1,181
208,31,31,1,182
209,29,35,1,183
210,31,37,1,184
211,34,40,1,185
212,38,43,1,186
213,39,45,1,187
214,42,48,1,188
215,45,51,1,189
216,48,54,1,190
217,21,21,1,261
218,24,24,1,249
219,27,27,1,248
220,30,30,1,247
221,33,33,1,246
222,36,36,1,245
223,34,34,1,341
224,37,37,1,342
225,39,39,1,343
226,43,43,1,344
227,45,45,1,345
228,48,48,1,346
229,46,46,1,347
230,43,43,1,348
231,45,45,1,349
232,43,43,1,350
233,46,50,1,351
234,44,48,1,191
235,43,45,1,364
236,40,41,1,365
237,35,37,1,353
238,33,34,1,354
239,30,32,1,355
240,27,29,1,356
241,23,23,1,357
242,20,20,1,358
243,18,18,1,359
244,15,15,1,360
245,12,12,1,361
246,16,16,1,362
247,18,18,1,363
248,55,55,1,194
249,58,58,1,195
250,61,61,1,196
251,66,66,1,197
252,67,68,1,198
253,69,70,1,199
254,72,72,1,200
255,5,5,1,206
256,5,5,1,207
257,7,7,1,208
258,10,10,1,209
259,12,12,1,210
260,16,16,1,211
261,18,18,1,212
262,19,19,1,213
263,21,21,1,214
264,23,23,1,215
265,25,25,1,216
266,26,26,1,217
267,28,28,1,218
268,30,30,1,219
269,32,32,1,220
270,34,34,1,221
271,40,40,1,222
272,39,41,1,452
273,37,40,1,224
274,38,38,1,225
275,36,36,1,226
276,33,33,1,227
277,31,31,1,228
278,28,28,1,229
279,26,26,1,230
280,23,23,1,231
281,19,19,1,201
282,16,16,1,202
283,14,14,1,203
284,10,10,1,204
285,7,7,1,205
286,23,23,1,335
287,25,25,1,334
288,28,28,1,333
289,32,32,1,332
290,35,35,1,265
291,38,38,1,264
292,40,40,1,263
293,43,43,1,262
294,53,53,1,270
295,48,48,1,271
296,46,46,1,272
297,43,43,1,273
298,40,40,1,274
299,38,38,1,275
300,34,34,1,276
301,32,32,1,277
302,28,28,1,278
303,26,26,1,279
304,22,22,1,280
305,28,28,1,282
306,25,25,1,284
307,31,31,1,285
308,32,32,1,286
309,35,35,1,287
310,38,38,1,288
311,42,42,1,289
312,45,45,1,290
313,48,48,1,291
314,50,50,1,292
315,53,53,1,293
316,56,56,1,294
317,59,59,1,295
318,64,64,1,296
319,69,69,1,297
320,65,65,1,298
321,62,62,1,299
322,57,57,1,300
323,53,53,1,301
324,51,51,1,302
325,48,48,1,331
326,45,45,1,303
327,41,41,1,304
328,36,36,1,305
329,33,33,1,306
330,34,40,1,307
331,31,37,1,308
332,28,35,1,309
333,26,26,1,366
334,24,24,1,310
335,19,19,1,311
336,24,24,1,312
337,26,28,1,313
338,23,31,1,314
339,21,21,1,315
340,23,36,1,316
341,27,40,1,352
342,30,43,1,318
343,33,46,1,319
344,35,48,1,320
345,38,51,1,339
346,40,53,1,321
347,44,57,1,322
348,48,61,1,323
349,51,64,1,324
